id,성과유형_1,성과유형_2,성과유형_3,성과유형_4,성과유형_5,성과유형_6,성과유형_7,성과유형_8,성과유형_9,성과유형_10,성과유형_11,성과유형_12,성과유형_13,성과유형_14,성과유형_15,성과유형_16,성과유형_17,성과유형_18,성과유형_19,성과유형_20,성과유형_21,성과유형_22,성과유형_23,성과유형_24,성과유형_25,성과유형_26,성과유형_27,성과유형_28,성과유형_29,성과유형_30,성과유형_31,성과유형_32,성과유형_33,성과유형_34,성과유형_35,성과유형_36,성과유형_37,성과유형_38,성과유형_39,성과유형_40,성과유형_41,성과유형_42,성과유형_43,성과유형_44,성과유형_45,성과유형_46,성과유형_47,성과유형_48,성과유형_49,성과유형_50,성과유형_51,성과유형_52,성과구분_1,성과구분_2,성과구분_3,성과구분_4,성과구분_5,성과구분_6,성과구분_7,성과구분_8,성과구분_9,성과구분_10,성과구분_11,성과구분_12,성과구분_13,성과구분_14,성과구분_15,성과구분_16,성과구분_17,성과구분_18,성과구분_19,성과구분_20,성과구분_21,성과구분_22,성과구분_23,성과구분_24,성과구분_25,성과구분_26,성과구분_27,성과구분_28,성과구분_29,성과구분_30,성과구분_31,성과구분_32,성과구분_33,성과구분_34,성과구분_35,성과구분_36,성과구분_37,성과구분_38,성과구분_39,성과구분_40,성과구분_41,성과구분_42,성과구분_43,성과구분_44,성과구분_45,성과구분_46,성과구분_47,성과구분_48,성과구분_49,성과구분_50,성과구분_51,성과구분_52,성과구분_CD_1,성과구분_CD_2,성과구분_CD_3,성과구분_CD_4,성과구분_CD_5,성과구분_CD_6,성과구분_CD_7,성과구분_CD_8,성과구분_CD_9,성과구분_CD_10,장기_합계,장기_개수,단기_합계,단기_개수
0,장기,단기,단기,장기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0
1,단기,단기,단기,단기,단기,단기,단기,단기,단기,장기,장기,단기,장기,장기,장기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기대한 정도의 목표 달성,기대한 정도의 목표 달성,기대한 정도의 목표 달성,기대한 정도의 목표 달성,기대한 정도의 목표 달성,기대한 정도의 목표 달성,기대한 정도의 목표 달성,기대한 정도의 목표 달성,기대한 정도의 목표 달성,기대한 정도의 목표 달성,기대한 정도의 목표 달성,기대한 정도의 목표 달성,기대한 정도의 목표 달성,기대한 정도의 목표 달성,기대한 정도의 목표 달성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,36.0,9.0
2,장기,단기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
3,단기,단기,장기,단기,단기,단기,장기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,5.0
4,단기,장기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
5,단기,단기,장기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0
6,장기,단기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
7,단기,단기,단기,단기,단기,장기,장기,장기,장기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,5.0
8,단기,장기,단기,장기,단기,장기,단기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0
9,장기,장기,단기,단기,장기,단기,단기,단기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,5.0
